Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
325_IZSLER,65.964,65.977,41.896,35.794,47.741,38.352,64.602,70.586,69.278,33.118,50.334,41.117,39.205,28.851,63.718,68.568,48.165,37.89,39.392,30.148,32.913,36.928,Australis,2,interrogans,70.586
44_IZSLER,67.076,66.059,41.833,35.794,47.739,38.351,64.79,70.609,69.712,33.118,50.334,41.381,39.204,29.092,63.848,69.525,48.346,37.888,39.559,30.409,32.913,37.194,Australis,2,interrogans,70.609
muenchen1327,67.274,66.581,42.676,36.547,48.537,39.548,64.605,70.692,70.443,34.391,51.04,42.167,40.039,30.15,63.82,69.399,49.705,39.138,40.596,31.447,34.827,38.106,Australis,2,interrogans,70.692
201800570,50.568,65.143,36.859,33.507,41.844,35.026,64.29,70.858,68.56,29.472,42.213,38.214,36.18,27.067,49.853,65.284,42.546,33.004,37.181,29.374,32.335,30.447,Autumnalis,2,interrogans,70.858
Brem_137,67.365,66.672,42.097,36.049,47.747,38.354,64.9,70.949,69.512,33.125,50.341,41.612,39.214,28.694,63.846,69.591,48.137,37.892,39.818,30.005,32.994,36.709,Australis,2,interrogans,70.949
2008720117,66.175,65.747,43.156,36.942,48.476,39.829,65.881,70.985,70.349,34.585,50.975,41.974,40.105,30.828,63.924,68.243,49.846,39.259,40.013,31.499,35.056,36.913,Australis,2,interrogans,70.985
201801752,46.052,57.68,37.012,32.966,41.992,34.845,59.312,71.157,62.874,29.435,42.633,38.212,36.261,27.037,45.622,66.234,42.904,33.112,37.643,29.512,32.572,29.163,Autumnalis,2,interrogans,71.157
ACSBRA_2020,66.932,66.809,42.978,37.223,48.824,39.854,65.332,71.176,70.619,34.852,50.945,42.47,40.18,30.586,63.81,69.91,49.683,39.333,40.693,31.885,36.055,38.48,Australis,2,interrogans,71.176
2008720116,66.494,66.622,42.859,37.09,48.736,39.714,65.273,71.233,71.107,34.615,51.229,42.038,40.201,30.453,64.194,69.448,49.885,39.313,40.493,31.772,35.083,37.893,Australis,2,interrogans,71.233
Brem_179,50.091,60.184,34.075,38.018,38.121,29.58,68.987,63.312,71.612,34.4,37.38,32.788,31.434,30.163,48.714,59.296,37.208,31.167,31.134,32.797,36.937,39.16,Grippotyphosa,2,kirschneri,71.612
201801219,67.779,67.157,43.14,37.958,49.112,39.702,66.238,72.38,71.303,35.579,51.587,42.607,40.519,31.262,65.197,70.2,50.308,39.619,41.458,32.592,36.466,38.688,Australis,2,interrogans,72.38
202001526,68.283,67.487,44.054,38.422,50.049,40.376,66.329,72.927,72.65,36.094,51.947,43.002,41.172,31.753,65.118,71.065,51.273,40.45,41.443,33.098,37.228,39.771,Australis,2,interrogans,72.927
IP1512011,48.609,56.506,36.701,32.602,41.655,31.56,59.584,71.737,62.375,29.965,38.413,35.134,34.591,27.449,44.25,73.276,42.013,31.079,35.839,29.52,32.681,29.045,Pomona,2,interrogans,73.276
grippotyphosa1473,52.323,64.694,44.104,39.202,48.458,36.615,72.064,65.743,73.35,37.342,45.45,41.976,40.013,32.699,52.553,60.526,47.428,38.248,39.326,35.317,40.802,40.827,Grippotyphosa,2,kirschneri,73.35
CMCC-1,70.236,67.521,44.209,39.127,50.083,41.252,67.865,73.719,73.157,35.778,52.845,43.807,41.166,32.667,65.797,70.134,49.428,40.436,40.96,34.163,36.511,39.12,Australis,2,Unknown,73.719
200702252,28.418,30.237,30.379,32.071,36.089,32.303,32.448,32.338,33.335,73.356,35.722,30.157,32.811,73.865,30.804,34.167,36.092,30.362,37.92,73.774,47.995,36.658,Mini,3,santarosai,73.865
CR2621,54.332,67.264,46.831,35.653,48.658,43.122,67.996,70.788,74.121,38.931,45.532,45.717,45.344,36.982,54.371,67.633,48.42,42.543,51.835,39.209,53.477,42.436,Grippotyphosa,2,santarosai,74.121
valbuzzi1427,47.216,61.051,37.092,30.188,41.759,32.61,64.198,73.426,74.162,27.776,39.564,35.674,36.422,25.654,46.374,62.099,41.74,33.203,34.947,26.927,31.156,28.048,Grippotyphosa,2,interrogans,74.162
200112227,32.519,35.479,37.97,34.147,41.968,34.718,36.742,38.743,40.028,67.674,41.469,37.74,36.842,66.648,33.299,39.936,41.415,34.432,37.52,74.407,42.556,43.687,Sejroe,3,borgpetersenii,74.407
201101058,28.386,30.316,33.106,33.497,37.466,30.199,31.026,32.641,33.915,68.673,36.666,34.22,33.645,74.403,28.794,35.049,36.77,30.72,34.869,74.694,41.849,38.927,Mini,3,borgpetersenii,74.694
200403458,27.574,29.661,29.889,31.602,36.449,32.252,30.865,31.644,32.475,74.817,36.147,30.034,33.473,75.239,29.947,33.586,36.559,30.212,38.236,74.828,47.645,35.665,Mini,3,santarosai,75.239
CR1821,54.338,69.555,46.855,35.503,48.571,42.674,69.163,72.283,75.642,38.718,45.752,45.867,45.13,36.44,54.644,65.465,48.246,42.716,51.443,37.801,54.22,42.871,Grippotyphosa,2,santarosai,75.642
IP1605021,51.452,55.486,70.78,40.746,70.761,68.888,51.027,52.361,55.718,39.609,67.481,72.448,58.017,35.919,51.697,51.652,75.829,69.301,64.083,37.9,42.862,50.454,Pyrogenes,1,Leptospira noguchii,75.829
leptoCuba20,53.542,66.774,40.195,35.542,44.987,34.899,75.486,69.638,75.993,32.054,41.731,39.21,37.932,29.218,51.618,62.924,44.878,34.241,36.751,31.757,37.775,33.293,Pomona,2,kirschneri,75.993
SU5,71.12,69.965,46.752,41.571,53.443,43.385,69.221,76.706,75.254,39.412,56.051,46.381,43.34,34.792,68.877,73.021,53.864,42.287,43.312,36.098,40.927,42.368,Australis,2,Unknown,76.706
201700306,50.229,58.34,35.684,32.446,40.623,30.709,62.685,75.287,65.942,28.798,37.424,34.252,33.726,26.549,46.499,77.306,40.921,30.157,34.759,28.704,30.302,28.192,Pomona,2,interrogans,77.306
201800564,32.885,38.181,54.545,26.763,68.735,47.811,34.08,36.869,37.992,26.867,63.011,52.833,51.34,26.319,31.927,36.149,77.4,47.4,53.618,28.623,26.096,33.46,Pyrogenes,1,interrogans,77.4
148237,73.086,72.239,46.597,42.548,53.83,43.588,70.706,77.723,76.717,39.393,57.141,46.243,43.508,34.446,68.507,74.35,54.517,42.436,43.831,37.06,40.94,42.525,Australis,2,interrogans,77.723
178081,73.136,72.297,46.648,42.606,53.887,43.635,70.764,77.788,77.317,39.457,57.196,46.291,43.556,34.506,68.563,74.475,54.357,42.485,43.877,37.122,41.025,42.588,Australis,2,interrogans,77.788
202202768,38.667,42.117,61.155,35.041,59.657,62.255,42.641,47.328,48.338,36.676,60.324,62.453,59,35.766,41.781,42.495,60.74,77.96,56.444,35.806,45.422,44.101,Ranarum,1,alstonii,77.96
148260,73.991,73.08,47.445,43.634,54.81,44.364,71.648,78.745,78.005,40.495,58.079,47.041,44.324,35.351,69.479,75.253,55.254,43.346,44.617,38.117,42.595,43.727,Australis,2,interrogans,78.745
202101808,45.625,50.689,77.096,39.457,69.686,77.91,51.769,52.487,56.208,42.362,63.14,78.892,65.049,40.626,48.436,53.02,74.735,68.745,76.116,41.362,57.923,53.147,Pyrogenes,1,santarosai,78.892
1315,73.908,73.453,47.572,43.453,54.876,44.45,71.831,79.262,77.613,40.917,58.194,47.38,44.429,35.699,70.126,74.226,55.741,43.373,44.549,37.671,43.234,44.252,Australis,2,interrogans,79.262
202303413,35.333,36.307,43.638,48.913,44.944,43.449,36.674,38.287,40.691,36.469,45.036,42.473,44.89,38.067,35.509,40.839,43.605,39.059,42.742,38.783,70.134,79.332,Tarassovi,4,alexanderi,79.332
UI_12764,53.343,66.266,43.137,34.643,49.592,39.48,70.966,78.552,79.349,32.748,48.638,41.478,41.301,29.869,53.335,68.81,49.267,37.429,39.816,31.276,34.343,34.825,Grippotyphosa,2,interrogans,79.349
LT2116,35.472,37.201,42.797,48.966,44.336,45.848,38.098,37.688,40.906,37.769,44.456,42.09,41.656,37.388,35.634,40.75,44.333,38.549,40.804,38.726,63.496,79.626,Tarassovi,4,weilii,79.626
Ag21_2020,46.052,50.877,66.893,42.001,74.808,79.774,52.473,53.038,56.499,47.498,78.655,71.467,73.886,45.427,48.824,53.832,78.365,66.33,72.429,47.23,47.643,53.12,Sarmin,1,weilii,79.774
200901118,56.938,70.188,46.15,35.221,46.343,40.428,79.802,72.045,76.427,34.218,46.185,46.815,41.426,35.186,54.729,73.888,46.101,39.226,45.041,38.484,37.168,42.665,Pomona,2,borgpetersenii,79.802
1051,63.724,77.319,44.213,36.861,48.686,39.77,77.41,78.472,79.969,32.707,48.416,45.754,41.582,29.336,56.457,72.616,48.437,38.249,40.071,32.018,35.405,35.959,Autumnalis,2,kirschneri,79.969
202303414,30.67,32.144,34.847,35.89,41.829,34.982,33.983,35.112,34.961,77.797,41.442,35.364,38.155,78.225,33.392,37.136,40.484,34.179,40.151,80.147,41.597,40.621,Hebdomadis,3,alexanderi,80.147
202100064,37.359,38.53,46.555,54.358,47.726,45.157,39.646,40.511,43.977,39.767,47.542,45.68,42.504,40.016,37.163,43.888,45.958,41.774,43.113,40.088,67.968,80.859,Tarassovi,4,Other,80.859
JET,32.877,32.337,34.617,81.311,36.748,34.526,35.954,36.982,37.33,36.957,36.436,33.879,33.304,36.536,35.155,37.624,36.867,33.346,41.745,37.712,78.882,58.371,Tarassovi,4,santarosai,81.311
2ACAP,54.067,68.876,47.69,34.422,49.346,41.201,72.638,75.819,81.566,38.119,46.335,46.494,46.273,35.853,56.212,71.088,48.68,43.273,51.53,35.892,51.923,41.131,Grippotyphosa,2,santarosai,81.566
LO-9,53.777,68.564,47.515,34.608,49.172,41.352,73.206,76.024,81.686,38.315,46.171,46.331,46.132,36.037,56.43,70.898,48.518,43.104,51.671,36.08,52.22,40.918,Grippotyphosa,2,santarosai,81.686
U73,81.87,71.432,46.538,43.181,50.255,45.512,67.221,75.493,71.48,38.441,51.353,45.429,43.305,35.164,78.922,71.704,50.385,42.379,45.634,37.55,41.727,45.011,Panama,2,noguchii,81.87
56180,57.285,73.079,48.172,36.414,49.936,43.776,76.218,78.608,82.173,40.054,46.97,47.071,46.934,36.942,57.595,70.327,49.27,44.095,52.3,38.513,55.224,42.224,Grippotyphosa,2,santarosai,82.173
202303415,44.276,46.845,68.372,37.164,66.258,82.203,48.396,48.873,51.695,41.947,69.259,77.177,79.249,42.522,47.587,49.617,69.88,67.281,66.152,43.684,40.626,48.811,Javanica,1,alexanderi,82.203
202303416,29.127,31.036,31.379,32.297,38.269,33.831,32.474,33.069,34.073,82.145,37.882,31.548,35.148,82.75,30.999,34.591,37.793,31.717,39.828,81.012,48.691,37.411,Mini,3,santarosai,82.75
200803703,34.822,34.626,35.454,35.981,42.854,33.824,39.665,39.45,40.254,81.52,41.614,35.622,37.509,78.298,36.894,37.794,41.838,34.045,36.665,82.837,41.43,41.257,Mini,3,kirschneri,82.837
L53,29.957,32.292,31.657,33.64,41.099,29.781,33.183,37.446,35.944,82.84,41.192,32.069,34.289,75.83,33.266,36.497,41.164,31.884,35.607,82.044,38.768,36.889,Sejroe,3,interrogans,82.84
CR1421,43.998,48.786,69.927,38.55,72.27,66.347,51.167,52.876,55.675,45.981,65.992,68.764,67.861,45.067,47.545,53.917,75.445,61.782,82.849,45.781,54.458,51.991,Pyrogenes,1,santarosai,82.849
CR2020,32.519,32.94,34.556,35.993,41.465,35.244,36.308,36.729,37.658,82.924,40.692,34.274,35.833,80.495,35.249,37.472,40.634,34.166,41.013,81.286,54.387,40.958,Hebdomadis,3,santarosai,82.924
Oregon,28.064,31.28,32.59,32.627,39.681,33.605,32.992,34.602,36.056,81.861,39.027,32.724,36.37,83.062,32.513,34.497,38.93,32.889,40.512,82.041,50.249,38.345,Mini,3,santarosai,83.062
2006006960,42.227,47.769,59.931,36.195,75.625,53.227,45.571,52.063,51.236,40.505,69.901,58.358,56.656,35.66,44.101,48.646,83.369,52.539,58.217,37.126,38.855,42.668,Pyrogenes,1,interrogans,83.369
56163,29.882,32.236,33.487,33.639,40.669,34.211,34.004,35.718,37.149,82.976,39.972,33.568,37.198,83.498,33.555,36.23,39.814,33.742,41.699,82.094,51.518,39.446,Mini,3,santarosai,83.498
ZUN179,42.76,49.041,69.696,36.948,72.744,65.892,48.865,52.816,55.186,44.002,66.443,68.172,71.579,40.933,46.131,52.263,77.196,61.545,83.549,41.184,50.287,49.505,Pyrogenes,1,santarosai,83.549
200201189,56.966,72.013,50.417,41.27,55.132,42.499,79.287,75.648,83.755,39.388,52.074,48.992,47.334,34.711,57.93,67.348,53.27,45.558,45.099,37.312,43.787,42.852,Grippotyphosa,2,kirschneri,83.755
Norma,30.334,32.694,32.003,34.077,41.606,30.098,33.621,38.011,36.414,83.789,41.681,32.394,34.61,76.635,33.674,36.994,41.611,32.192,35.924,82.872,39.398,37.317,Sejroe,3,interrogans,83.789
Hardjoprajitno,30.729,32.713,32.663,34.818,42.334,30.702,34.365,38.832,37.234,84.122,42.377,32.81,35.22,76.919,33.345,37.721,41.776,32.82,36.511,83.168,40.41,38.132,Sejroe,3,interrogans,84.122
OV5,30.671,33.191,32.467,34.679,42.118,30.523,34.183,38.102,36.99,84.302,42.17,32.831,35.039,77.065,34.174,37.528,42.234,32.633,36.091,83.427,40.224,37.886,Sejroe,3,Leptospira interrogans serovar Hardjo,84.302
CR2821,44.605,49.079,71.421,38.836,73.561,67.282,51.491,53.247,56.267,46.215,66.857,69.77,71.96,45.279,48.124,54.03,76.75,62.875,84.371,45.803,54.765,52.293,Pyrogenes,1,santarosai,84.371
201700040,28.504,30.402,33.188,33.295,37.423,30.237,31.206,32.641,33.904,76.171,36.73,34.225,33.644,83.11,29.589,35.204,36.895,30.682,34.886,84.483,42.014,38.961,Mini,3,borgpetersenii,84.483
201101282,28.456,30.262,33.023,33.496,37.391,30.19,31.128,32.552,33.826,76.677,36.609,34.054,33.595,83.644,29.556,35.115,36.618,30.641,34.723,84.489,41.919,39.017,Mini,3,borgpetersenii,84.489
200801910,41.345,46.745,84.498,35.431,60.479,58.56,48.843,50.429,54.055,35.239,53.885,73.31,56.661,35.287,42.867,50.908,64.706,56.014,55.744,39.52,41.036,51.439,Ballum,1,borgpetersenii,84.498
200801925,36.509,39.312,36.765,37.304,44.159,35.098,40.784,40.971,41.965,84.162,43.344,36.941,38.415,80.195,37.368,39.865,43.778,35.247,37.985,84.58,43.689,42.861,Mini,3,kirschneri,84.58
LT2156,44.001,49.041,60.535,39.549,77.769,56.913,45.817,51.485,50.158,43.491,75.001,58.941,57.43,38.317,45.006,48.68,84.655,55.68,59.816,40.857,41.842,47.648,Pyrogenes,1,interrogans,84.655
200901485,28.708,30.284,33.044,33.637,37.414,30.24,31.225,32.578,33.852,76.703,36.631,34.055,33.614,83.668,29.631,35.152,36.716,30.661,34.729,84.658,41.956,39.043,Mini,3,borgpetersenii,84.658
L0374,42.494,49.372,60.104,37.347,76.264,54.775,46.708,52.252,51.318,39.754,71.089,59.432,57.028,35.841,42.532,50.171,84.926,53.503,59.554,38.698,38.962,45.451,Pyrogenes,1,interrogans,84.926
L52,32.759,34.262,34.289,37.606,44.168,32.816,36.938,40.914,39.78,85.03,44.262,34.258,36.564,77.502,34.83,38.708,43.874,34.117,37.419,83.545,43.827,38.439,Sejroe,3,Leptospira interrogans serovar Ricardi,85.03
80-412,41.117,44.123,66.469,37.716,63.974,65.981,46.329,49.785,53.16,38.895,64.416,68.481,62.787,38.539,44.864,45.868,64.031,85.101,58.679,38.35,47.523,48.009,Ranarum,1,alstonii,85.101
U164,29.378,31.017,40.681,45.612,42.119,36.487,30.915,32.949,35.859,34.964,41.518,39.183,35.779,35.154,31.191,34.485,41.638,37.757,44.348,34.56,85.151,62.361,Tarassovi,4,santarosai,85.151
201600663,33.577,35.873,38.432,34.975,43.027,35.109,37.141,38.979,40.279,79.593,42.54,39.271,38.337,84.09,34.96,40.786,42.281,35.063,39.058,85.527,43.416,44.842,Mini,3,borgpetersenii,85.527
N116,32.018,34.387,33.706,36.019,43.499,31.666,34.998,39.644,38.555,85.545,43.491,34.015,36.196,77.925,35.522,38.726,42.324,33.829,36.985,84.454,42.483,39.385,Sejroe,3,interrogans,85.545
M498,29.326,31.195,31.765,33.391,38.861,32.235,33.197,34.886,35.161,80.127,38.551,31.866,35.232,79.063,32.111,36.694,38.598,31.884,41.96,85.586,51.741,38.233,Sejroe,3,santarosai,85.586
FMAS_RT2,61.735,75.534,46.667,40.032,54.248,42.346,76.424,85.558,85.736,37.979,54.759,47.734,44.405,32.745,62.09,79.853,54.6,41.112,43.954,35.242,38.208,39.956,Autumnalis,2,Leptospira interrogans,85.736
202200046,46.774,51.686,72.153,40.658,74.905,67.845,52.223,55.213,57.844,46.088,68.09,70.158,73.32,44.836,49.166,56.134,78.756,61.968,85.74,45.683,57.758,54.059,Pyrogenes,1,santarosai,85.74
LSU1013,34.755,35.743,44.572,48.842,45.853,41.48,37.371,40.157,41.8,38.165,45.417,42.965,40.018,37.672,35.825,40.511,44.94,40.788,49.062,38.951,85.838,75.846,Tarassovi,4,santarosai,85.838
